ITEM,COMMENT,SPACE,POS_NEG,CR,ID,PRINT,RATE1,RATE2,RATE3,RATE4,FREQUENCY,FREQ_2,FREQ_3,FREQ_4,FREQ_5,FREQ_6
"Oxoquinoline Sulfate (Oxo)",,,,,1332,0,1.60000000e+01,8.50000000e+01,,,,,,,,
"Dermatologic Disorders, Skin, Dry, Used For",,,"-",,1333,0,1.60000000e+01,8.50000000e+01,,,,,,,,
"Weight",,,,,1335,0,1.62000008e+01,2.05000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Nose, Olfactory Region",,,"+",,1336,0,1.62500000e+01,1.70000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Small Intestine, Muscular Coat, Longitudinal Fibers",,,"+",,1337,0,1.62500000e+01,2.40000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Amino Acid, L-Leucine; Muscle","Related to Isovaleric acidaemia, Maple Syrup Urine Disease (MSUD)",,,,1338,0,1.62500000e+01,2.92500000e+01,,,,,,,,
"Chemical, Pesticide, Guthion 50wp",,,,,1339,0,1.62500000e+01,3.30000000e+01,,,,,,,,
"Colon, Intestine, Small, Peritoneal Covering",,,,,1341,0,1.62500000e+01,5.55000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Delawarr, Heart, Valves, Papillary Muscles",,,"+",,1342,0,1.63999996e+01,1.46000004e+01,,,2.00000000e+01,1.62000000e+02,2.40000000e+02,,,
"Delawarr, Large Intestine, Descending Colon",,,"+",,1343,0,1.63999996e+01,1.50000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Delawarr, Large Intestine, Structure Of, Muscular Coat, Circular Fibers",,,"+",,1344,0,1.63999996e+01,1.80000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Weed, Milkweed, Common, Asclepias syriaca",,,,,1345,0,1.63999996e+01,4.52500000e+01,,,,,,,,
"Planetary, Unknown NNN",,,,,1346,0,1.65000000e+01,1.25000000e+01,,,,,,,,
"Delawarr, Neurologic Disorders, Muscular Atrophies & Dystrophies","A Wasting Away of Body Tissue; or Failure to Develop",,"-",,1347,0,1.65000000e+01,1.55000000e+01,,,,,,,,
"Hair, Growth, Stimulate",,,,,1348,0,1.65000000e+01,1.55000000e+01,,,,,,,,
"Nutritional & Metabolic Disorders, Vitamin Imbalances",,,"-",,1349,0,1.65000000e+01,1.55000000e+01,,,,,,,,
"Delawarr, Plant, Corn",,,"+",,1350,0,1.65000000e+01,1.60000000e+01,,,,,,,,
"Chemical, Pesticide, Aldicarb (Temik), Water Contaminant",,,,,1351,0,1.65000000e+01,2.05000000e+01,,,,,,,,
"Nutrient, Lecithin, Skin",,,,,1352,0,1.65000000e+01,2.25000000e+01,,,,,,,,
"Chemical, Herbicide, Dacthal",,,,,1354,0,1.65000000e+01,2.45000000e+01,,,,,,,,
"Rainforest Botanicals, Enviroplex","Environmental Formula",,,,1355,0,1.65000000e+01,2.80000000e+01,,,,,,,,
"Planetary, Unknown EE",,,,,1356,0,1.65000000e+01,3.70000000e+01,,,,,,,,
"Homeopathic, BHI, Gall Bladder",,,,,1357,0,1.65000000e+01,3.72000008e+01,,,,,,,,
"Delawarr, Breast, Mammary Glands, Veins",,,"+",,1360,0,1.66000004e+01,2.27500000e+01,,,,,,,,
"Delawarr, Blood, Pressure, High","Check Structure, Emotions, Hormones, Boron",,"+",,1361,0,1.67500000e+01,2.60000000e+01,,,,,,,,
"Brain, Hind, Cerebellum, Nerves, Epileptogenic Zone",,,,,1362,0,1.67500000e+01,2.65000000e+01,,,,,,,,
"Animal, Chickens, Cervical Vertebrae",,,,,1364,0,1.67500000e+01,3.55000000e+01,,,,,,,,
"Chemical Element, Nickel, Antidote-Thallium 78.7-100, Color -Turquoise","Excessive or Deficient Check Iron",,,,1365,0,1.67999992e+01,1.00000000e+02,,,8.93599987e+00,1.90220001e+02,2.05059998e+02,,,
"Planetary, Unknown QQQ",,,,,1366,0,1.70000000e+01,-7.00000000e+00,,,,,,,,
"Acid, Uric",,,,,1367,0,1.70000000e+01,0.00000000e+00,,,,,,,,
"Ice",,,,,1369,0,1.70000000e+01,5.00000000e+00,,,,,,,,
"Psychiatric Disorders, Blockages, Religious",,,"-",,1370,0,1.70000000e+01,1.20000000e+01,,,,,,,,
"Chemical, Farm, Dodine 85w",,,,,1371,0,1.70000000e+01,1.30000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Nose, Posterior Nares",,,"+",,1372,0,1.70000000e+01,1.67500000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Dermatologic Disorders, Skin, Crocodile, Used For",,,"-",,1374,0,1.70000000e+01,1.70000000e+01,,,,,,,,
"Chemical, Herbicide, Basagran",,,,,1375,0,1.70000000e+01,1.85000000e+01,,,,,,,,
"Pulmonary Disorders, Bronchiectasis",,,"-",,1376,0,1.70000000e+01,2.00000000e+01,,,,,,,,
"Delawarr, Reticulo-Endothelial System, Cells Comprising Loose Reticulum In, Endothelium Lining","The Vasuclar Sinuses, Lymph Glands",,"+",,1377,0,1.70000000e+01,2.00000000e+01,,,,,,,,
"Homeopathic, BHI, Anti-Pus",,,,,1378,0,1.70000000e+01,2.02500000e+01,,,,,,,,
"Emotion, Abandon, Abandonment",,,,,1379,0,1.70000000e+01,2.10000000e+01,,,,,,,,
"Fungus, Mold, 1",,,,,1380,0,1.70000000e+01,2.10000000e+01,,,7.87000000e+02,,,,,
"Chemical, Farm, Dodine 85w",,,,,1382,0,1.70000000e+01,2.30000000e+01,,,,,,,,
"Cells, T Cells, Suppresser, Antibodies","Helps prevent inflammation that often occurs with an overproduction of antibodies",,,,1383,0,1.70000000e+01,2.35000000e+01,,,,,,,,
"Chemical, Pesticide, Chlordane, Cotitine, Water Contaminant","Found in Cigarettes",,,,1384,0,1.70000000e+01,2.70000000e+01,,,,,,,,
"Emotion, Unconditional Love",,,,,1385,0,1.70000000e+01,2.77999992e+01,,,,,,,,
"Fluorine, Used For",,,,,1387,0,1.70000000e+01,2.90000000e+01,,,,,,,,
"Leukocytes, Destroys, Used For",,,,,1388,0,1.70000000e+01,2.90000000e+01,,,,,,,,
"Liver, General, Helpful Paired with Gall Bladder 13.00-64.00","Use For Sulfa Drug Toxins, Hay Fever, Anemia, Mumps, Jaundice, Bacillus Coli, Brucellus Abortus, Undulant Fever, Fatigue, Flu, Catarrh, Staph, Poisons",,,,1389,0,1.70000000e+01,2.90000000e+01,,,,,,,,
"Emotion, Embarrassment",,,,,1390,0,1.70000000e+01,3.00000000e+01,,,,,,,,
"Drug, Pediazole",,,,,1392,0,1.70000000e+01,3.45000000e+01,,,,,,,,
"Diseases, Alzheimer's",,,"-",,1393,0,1.70000000e+01,3.75000000e+01,,,,,,,,
"Chemical, Insecticide, Wasp Killer",,,,,1394,0,1.70000000e+01,3.80000000e+01,,,,,,,,
"Chemical, Farm, Nemasul",,,,,1395,0,1.70000000e+01,3.85000000e+01,,,,,,,,
"Vasodilator Pressure, Relaxation of the Blood Vessels","A nerve or drug that dilates the blood vessels, Use To Reduce",,,,1397,0,1.70000000e+01,4.20000000e+01,,,,,,,,
"Chemical, Insecticide, Insect Killer 6-12",,,,,1398,0,1.70000000e+01,4.27500000e+01,,,,,,,,
"Mutation of Flu, Stop Any Further",,,,,1399,0,1.70000000e+01,4.65000000e+01,,,,,,,,
"Chemical, Herbicide, Aatrex 80W",,,,,1400,0,1.70000000e+01,5.05000000e+01,,,,,,,,
"Colon, Duodenum","Use 16.00-25.00 if Insect Stings, Migraines, Parathion, Poisons (Arsenic), D D T, Acidity in Burns, or Lindane is found in",,,,1401,0,1.70000000e+01,5.20000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Neurologic Disorders, Brain, Base, Intercranial Aneurysm",,,"-",,1403,0,1.70000000e+01,7.10000000e+01,,,,,,,,
"Viral Diseases, Respiratory Viral Diseases, Febrile Respiratory, Acute",,,"-",,1404,0,1.70000000e+01,7.10000000e+01,,,,,,,,
"Gynecologic, Obstetric, Pediatric, Genetic Disorders, Child Psychiatric Disorders",,,"-",,1406,0,1.70000000e+01,8.50000000e+01,,,,,,,,
"Musculoskeletal & Connective Tissue Disorders, Bursitis","Inflammation of the Bursa as Near the Shoulder or Hip, Bursa Supplies Fluid to the Joints",,"-",,1407,0,1.70000000e+01,9.50000000e+01,,,,,,,,
"Chemical Element, Bromine, Br, A# 35, AWt 79.904, Antidote-Yttrium 83-100, Color -Purple",,,,,1408,0,1.70000000e+01,1.00000000e+02,,,2.50529995e+01,5.33299988e+02,5.74909973e+02,2.70060005e+01,5.74880005e+02,6.19729980e+02
"Poison, Uric Acid","Deposit of this Mineral Could Cause Arthritic Problems",,,,1409,0,1.70000000e+01,1.00000000e+02,,,,,,,,
"Delawarr, Small Intestine, Mucous Membrane, Villi, Capillaries",,,"+",,1411,0,1.72500000e+01,1.17500000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Large Intestine, Vermiform Appendix, Muscous Membrane",,,"+",,1412,0,1.72500000e+01,2.07500000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Emotion, Self Pity","Positive Emotion-Grateful, Organ-Pancreas Enzymes",,,,1414,0,1.72500000e+01,3.20000000e+01,,,,,,,,
"Delawarr, Rheumatism, Chronic",,,"+",,1415,0,1.72500000e+01,3.50000000e+01,,,,,,,,
"Animal, Chickens, Isthmus",,,,,1417,0,1.73999996e+01,1.90000000e+01,,,,,,,,
"Reproductive, Testes",,,,,1418,0,1.75000000e+01,7.00000000e+00,,,1.00000000e+00,8.80000000e+02,,,,
"Blood, Immunoglobulin E (IgE) Level, to Monitor","Immuno-Globulins Can Bind With & Destroy Antigens, May Be Indicator Of Parasite Infection When Elevated, May Be A Causative Factor In Chronic Fatigue Syndrome",,,,1419,0,1.75000000e+01,1.41999998e+01,,,,,,,,
"Delawarr, External & Physical Agent Disorders, Electric Shock",,,"-",,1420,0,1.75000000e+01,1.50000000e+01,,,,,,,,
"Delawarr, Arthritis","Balance 4.00-7.00 For Stiffness, Balance also 10.00-9.00, 13.00-29.00, Adrenals, colon, Kidneys & Thyroid",,"+",,1421,0,1.75000000e+01,1.60000000e+01,,,4.32999992e+01,,,,,
"Delawarr, Arthritis, Rheumatoid","Check For Mineral Deposits, Calcium, Carbon-Stop Massive Carbohydrate Intake, Silicon, Sodium-Use Sun-Dried Sea Salt, Uric Acid",,"+",,1423,0,1.75000000e+01,1.90000000e+01,,,4.32999992e+01,,,,,
"Chemical, Petro, Diesel Fuel #1, Water Contaminant",,,,,1424,0,1.75000000e+01,1.95000000e+01,,,,,,,,
"Emotion, Loneliness",,,,,1426,0,1.75000000e+01,2.40000000e+01,,,,,,,,
"Animal, Chickens, Lens",,,,,1427,0,1.75000000e+01,2.55000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Pharynx, Tonsils, Lymphoid Tissue",,,"+",,1428,0,1.75000000e+01,2.80000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Amino Acid, Serotonin, Brain Neurotransmitter","Stimulates Nervous Tension, Drowsiness, Heart Palpitations, Water Retention, Inability to Concentrate & Perform; Imbalance or Lack Causes Depression",,,,1429,0,1.75000000e+01,2.82500000e+01,,,,,,,,
"Poisoning, General Chemical, Nickel","Use 92.00-83.00, 7.50-29.00, 10.00-1.00, 92.00-88.00",,,,1431,0,1.75000000e+01,4.10000000e+01,,,,,,,,
"Dermatologic Disorders, Skin, Dry",,,"-",,1432,0,1.75000000e+01,4.50000000e+01,,,,,,,,
"Weight, Fat",,,,,1434,0,1.75000000e+01,5.10000000e+01,,,,,,,,
"Auric Body, (5) Causal",,,,,1435,0,1.75000000e+01,5.80000000e+01,,,,,,,,
"Planetary, Unknown F",,,,,1436,0,1.75000000e+01,5.90000000e+01,,,,,,,,
"Planetary, Unknown OO",,,,,1437,0,1.75000000e+01,6.55000000e+01,,,,,,,,
"Delawarr, Breast, Mammary Glands, Gland Tissue, Lobes",,,"+",,1439,0,1.77500000e+01,1.17500000e+01,,,,,,,,
"Delawarr, Bruises",,,"+",,1440,0,1.77500000e+01,1.85000000e+01,,,,,,,,
"Negative, & Inappropriate Adjustment or Adaptation Of Stones, Shield",,,,,1441,0,1.77500000e+01,4.62500000e+01,,,,,,,,
"Delawarr, Breast, Mammary Glands, Fibrous Tissue",,,"+",,1442,0,1.77500000e+01,9.82500000e+01,,,,,,,,
"Planetary, Unknown LLL",,,,,1443,0,1.77500000e+01,9.90000000e+01,,,,,,,,
"Bacteria, Bacillus, Brucellus Abortus, Undulant Fever","Causes Infectious Abortion In Domestic Cattle",,,,1445,0,1.80000000e+01,0.00000000e+00,,,4.32999992e+01,2.00000000e+01,8.80000000e+02,,,
"Otorhinolaryngological Disorders, Nose & Paranasal Sinus Disorders, Sinus, Burning",,,"-",,1446,0,1.80000000e+01,3.00000000e+00,,,,,,,,
"Disease, Mosaic, Spotted, Caused by a Virus, In Vegetables",,,"-",,1447,0,1.80000000e+01,4.00000000e+00,,,,,,,,
"Eyes","Clear Body of All Toxins & Balance, use 3.75-2.75 to increase, helped by 2.00-49.00, 42.00-19.00, 7.00-19.00, 3.50-19.50, 23.00-9.50",,,,1448,0,1.80000000e+01,1.20000000e+01,,,2.00000000e+01,,,,,
"Animal, Udder, Right Side",,,,,1450,0,1.80000000e+01,1.70000000e+01,,,,,,,,
"Delawarr, Large Intestine, Structure Of, Solitary Lymphatic Nodules",,,"+",,1451,0,1.80000000e+01,1.75000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Small Intestine, Serous Coat",,,"+",,1452,0,1.80000000e+01,1.95000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Colon, Intestine, Large, Ascending, Right Colic Flexure",,,,,1453,0,1.80000000e+01,2.20000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Dental & Oral Disorders, Cheilosis","Condition of the lips with reddened appearance and fissures at the angles, seen frequently in deficiency of B complex especially Riboflavin",,"-",,1456,0,1.80000000e+01,2.50000000e+01,,,,,,,,
"Delawarr, Liver, Right Lobe",,,"+",,1457,0,1.80000000e+01,2.90000000e+01,,,,,,,,
"Animal, Chickens, Nasal Cavity",,,,,1458,0,1.80000000e+01,3.10000000e+01,,,,,,,,
"Otorhinolaryngological Disorders, Nose & Paranasal Sinus Disorders, Sinus, Burning",,,"-",,1460,0,1.80000000e+01,3.30000000e+01,,,,,,,,
"Fertilizer, Bone Meal, Organic Compound",,,,,1461,0,1.80000000e+01,3.37500000e+01,,,,,,,,
"Energy Plate Based On Tibetan Antekarana",,,,,1462,0,1.80000000e+01,3.40000000e+01,,,,,,,,
"Skeletal, Disorder, Pain, Coccyx, Low Back, Used For","May be Affected by Malathion",,,,1464,0,1.80000000e+01,3.60000000e+01,,,,,,,,
"Chemical, Insecticide, Lorsban 4E",,,,,1465,0,1.80000000e+01,3.70000000e+01,,,,,,,,
"Shin",,,,,1466,0,1.80000000e+01,3.90000000e+01,,,,,,,,
"Animal, Disorders, Cattle, Johne's Disease","Inflammation of the Small Intestine, similar to Crohn's Disease in humans, check copper & vitamin C, check also Leprosy &  TB",,"-",,1467,0,1.80000000e+01,3.92500000e+01,,,,,,,,
"Radiation, Hydrogen Bomb",,,,,1468,0,1.80000000e+01,4.22500000e+01,,,,,,,,
"Eyes","Clear Body of All Toxins & Balance, use 3.75-2.75 to increase, helped by 2.00-49.00, 42.00-19.00, 7.00-19.00, 3.50-19.50, 23.00-9.50",,,,1470,0,1.80000000e+01,4.80000000e+01,,,2.00000000e+01,,,,,
"Otorhinolaryngological Disorders, Nose & Paranasal Sinus Disorders, Sinus, Burning",,,"-",,1471,0,1.80000000e+01,5.10000000e+01,,,,,,,,
"Eyes","Clear Body of All Toxins & Balance, use 3.75-2.75 to increase, helped by 2.00-49.00, 42.00-19.00, 7.00-19.00, 3.50-19.50, 23.00-9.50",,,,1472,0,1.80000000e+01,7.05000000e+01,,,2.00000000e+01,,,,,
"Ophthalmologic Disorders, Injuries to Eye",,,"-",,1474,0,1.80000000e+01,7.60000000e+01,,,,,,,,
"Disease, Mosaic, Spotted, Caused by a Virus",,,"-",,1475,0,1.80000000e+01,1.00000000e+02,,,,,,,,
"Delawarr, Skeletal, Dislocation","Use 3.00-80.00",,"+",,1476,0,1.82000008e+01,1.56000004e+01,,,,,,,,
"Delawarr, Reticulo-Endothelial System, Cells Comprising Loose Reticulum In, Endothelium Lining","The Vascular Sinuses, Medulla Of Suprarenal Gland",,"+",,1477,0,1.82000008e+01,1.83999996e+01,,,,,,,,
"Delawarr, Internal Ear, Membranous Labyrinth, Saccule, Macula of the Saccule",,,"+",,1479,0,1.82000008e+01,5.75999985e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Ear, Saccule (Macula)",,,,,1480,0,1.82000008e+01,5.75999985e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Otorhinolaryngological Disorders, Nose & Paranasal Sinus Disorders, Chronic Catarrh","Use Of 3.00-9.00 Adrenals is Effective",,"-",,1481,0,1.82500000e+01,1.82999992e+01,,,4.32999992e+01,,,,,
"Delawarr, Gall Bladder & Biliary Ducts, Gall Bladder, Nerves, of Hepatic Plexus",,,"+",,1483,0,1.82500000e+01,2.75000000e+01,,,,,,,,
"Drug, Atarax, 25 Mg, Itching",,,,,1484,0,1.82500000e+01,3.25000000e+01,,,,,,,,
"Gastrointestinal Disorders, Diverticular Diseases, Colon, Diverticulitis","For 10 Minutes",,"-",,1485,0,1.85000000e+01,6.50000000e+00,,,,,,,,
"Homeopathic, Animals, Cattle, Sepia","Weakness In Back Legs Or Rear Quarters, Give To All Fresh Cows, Inflammation of Uterus",,,,1486,0,1.85000000e+01,1.10000000e+01,,,,,,,,
"Delawarr, Psychological Shock, Sexual","Power or Controlling Influence of One Person on Another That Can Not be Fought Off",,"+",,1487,0,1.85000000e+01,1.12500000e+01,,,,,,,,
"Animal, Chickens, Choroid",,,,,1488,0,1.85000000e+01,1.31999998e+01,,,,,,,,
"Pesticide, Reldan",,,,,1489,0,1.85000000e+01,1.35000000e+01,,,,,,,,
"Chemical, Pesticide, Diamethoate",,,,,1491,0,1.85000000e+01,2.45000000e+01,,,,,,,,
"Energy Field, To Balance Between The Physical Energy Field & Spiritual","Rate Should Be Below 50",,,,1492,0,1.85000000e+01,2.70000000e+01,,,,,,,,
"Herb, Buchu, Barosma Betulina","Used for Uric Acid Deposits, continual desire to urinate, little relief from effort, mucopurulent urine, Antimicrobial, stimulating to the kidneys & digestive organs",,,,1493,0,1.85000000e+01,2.75000000e+01,,,,,,,,
"Reproductive, Uterus",,,,,1495,0,1.85000000e+01,3.75000000e+01,,,,,,,,
"Eyes, Secropia",,,,,1496,0,1.85000000e+01,6.20000000e+01,,,2.00000000e+01,,,,,
"Chemical, Insecticide, Ethion",,,,,1499,0,1.87500000e+01,2.07500000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Esophagus, Muscle, Fibers",,,"+",,1500,0,1.87500000e+01,2.45000000e+01,,,2.00000000e+01,2.40000000e+02,,,,
"Colds, Common","Use 88.00-33.00, Then 14.50-37.00, 12.50-38.50 To Reduce, Use 55.00-51.00, 13.00-64.00 Gall Bladder",,,,1501,0,1.87500000e+01,2.52500000e+01,,,,,,,,
"Warts, Moles, Warts, Circumscribed Cutaneous Elevation resulting from Hypertrophy of the","Papillae &  Epidermis, Caused by the Papillomavirus, Balance Acid/Alkalinity & Na/Cl",,,,1502,0,1.87500000e+01,2.52500000e+01,,,,,,,,
"Fungus","Use 6.00-81.00, Check Spleen 4.00-95.00, Use 4.00-3.50 (read high) to build resistance to all fungi",,,,1504,0,1.90000000e+01,0.00000000e+00,,,7.87000000e+02,,,,,
"Parasites, Worms, Human",,,,,1505,0,1.90000000e+01,1.00000000e+02,,,6.00000000e+01,1.25000000e+02,,,,
"Diseases, Bacterial, Gram-Positive, Streptococcus, Strep, Hemolytic","Colloidal Silver is Effective",,"-",,1506,0,1.90000000e+01,0.00000000e+00,,,8.80000000e+02,4.32999992e+01,,,,
"Delawarr, Urinary System, Bladder, Female",,,"+",,1510,0,1.90000000e+01,1.40000000e+01,,,,,,,,
"Delawarr, Female Genital System, Uterus, Nerves, From Ovarian Plexus",,,"+",,1511,0,1.90000000e+01,1.85000000e+01,,,,,,,,
"Dental, Remove Or Loosen Partial Bridges & Caps",,,,,1513,0,1.90000000e+01,2.00000000e+01,,,,,,,,
"Chemical, Formaldehyde","Causes Central Nervous System Depressant, Hypersensitivity, Headaches, Check Rugs, Drapes, Paneling, Insulation, Curing Agent For New Things",,,,1514,0,1.90000000e+01,2.10000000e+01,,,,,,,,
"Negative, Entity, Or Beings, Remove All Perverted Enoculin",,,,,1515,0,1.90000000e+01,2.10000000e+01,,,,,,,,
"Essence, N.E.S.Flower, California Poppy, Inner Development","Strengthens Intuition",,,,1516,0,1.90000000e+01,2.15000000e+01,,,,,,,,
"Somatid Cycle, 13/Ascopore Form",,,,,1518,0,1.90000000e+01,2.70000000e+01,,,,,,,,
"Emotion, Rejection",,,,,1519,0,1.90000000e+01,2.72500000e+01,,,,,,,,
"Chakra, Synchronous Rate, Use Also With Spinal, Integral Pairs or Any  Combination",,,"+",,1521,0,1.90000000e+01,2.80000000e+01,,,,,,,,
"Animal, Chickens, Metatarsus",,,,,1522,0,1.90000000e+01,2.95000000e+01,,,,,,,,
"Chemical, Pollutant, Chlorine, Water Contaminant",,,,,1523,0,1.90000000e+01,3.20000000e+01,,,,,,,,
"Ophthalmologic Disorders, Eye, Infection, Staph, Strep, Congestion",,,"-",,1524,0,1.90000000e+01,3.30000000e+01,,,1.00000000e+00,2.00000000e+00,4.32000008e+01,4.32999992e+01,,
"Emotion, Reliable, Reliability","Negative Emotion-Unreliable, Organ-Stomach",,,,1526,0,1.90000000e+01,3.72500000e+01,,,,,,,,
"Virus, Human Immunodeficiency, HIV, 10, Auto-immune Disorders","Can Lead To Acquired Immunodeficiency Syndrome And Death",,"-",,1527,0,1.90000000e+01,3.77500000e+01,,,,,,,,
"Animal, Chickens, Skull",,,,,1529,0,1.90000000e+01,3.85000000e+01,,,,,,,,
"Toxins, Feather",,,,,1530,0,1.90000000e+01,3.90000000e+01,,,,,,,,
"Body, Face",,,,,1531,0,1.90000000e+01,4.00000000e+01,,,,,,,,
"Renal, Urologic & Sexual Disorders, Tubulointerstitial Diseases",,,"-",,1533,0,1.90000000e+01,4.50000000e+01,,,,,,,,
"Brain, Hind, Cerebellum","With Depression Check Need To Decrease Enkephalins Area of Emotion",,,,1534,0,1.90000000e+01,5.10000000e+01,,,2.00000000e+01,2.00000000e+03,,,,
"Drug, Prozac, Fluoxetine, SRI (Serotonin-Reuptake Inhibitor)","Do Not Take Any Type of Monoamine Oxidase Inhibitors with this Drug, could cause Death.",,,,1536,0,1.90000000e+01,5.45000000e+01,,,,,,,,
"Dental, Remove Or Loosen Partial Bridges & Caps",,,,,1537,0,1.90000000e+01,6.50000000e+01,,,,,,,,
"Skeletal, Body, Leg, Calf",,,,,1538,0,1.90000000e+01,6.70000000e+01,,,,,,,,
"Desynchronization",,,,,1539,0,1.90000000e+01,6.90000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Nose",,,"+",,1541,0,1.90000000e+01,9.60000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Stomach, Gastric Glands, Fundus, Source of Hydrochloric Acid (HC1)",,,"+",,1543,0,1.92000008e+01,3.00000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Psychological Shock, Emotional",,,"+",,1544,0,1.92500000e+01,1.95000000e+01,,,,,,,,
"Fertilizer, Nitrate Of Soda",,,,,1546,0,1.92500000e+01,2.92500000e+01,,,,,,,,
"Delawarr, Synovial Effusion",,,"+",,1547,0,1.92500000e+01,3.60000000e+01,,,,,,,,
"Reagent, Acromycin",,,,,1548,0,1.92500000e+01,3.70000000e+01,,,,,,,,
"Radiation, Iodine",,,,,1549,0,1.92500000e+01,3.80000000e+01,,,,,,,,
"Homeopathic, Bach Flower Remedy, Agrimony, Mental Torture (agrimonia eupatoria)","Over-Sensitivity to Influences & Ideas, Mental anguish or Torture or Considerable Pain Hidden behind a ""brave face""",,,,1550,0,1.92500000e+01,4.37500000e+01,,,,,,,,
"Delawarr, Ductless Glands, Suprarenal (Adrenal) Glands",,,"+",,1551,0,1.92500000e+01,4.47500000e+01,,,,,,,,
"Delawarr, Contraction",,,"-",,1552,0,1.92500000e+01,6.20000000e+01,,,,,,,,
"Planetary, Detrimental, Zodiac",,,,,1553,0,1.92999992e+01,2.30000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Esophagus, Mucous Membrane",,,"+",,1554,0,1.93999996e+01,2.12500000e+01,,,,,,,,
"Chemical Element, Ruthenium, Color -Yellow","Solar Plexus Chakra",,,,1555,0,1.93999996e+01,1.00000000e+02,,,,,,,,
"Delawarr, Central Nervous System, Hind Brain, Cerebellum, Fourth Ventricle","With Depression Check Need To Decrease Enkephalins Area of Emotion",,"+",,1557,0,1.95000000e+01,1.00000000e+01,,,,,,,,
"Essence, N.E.S.Flower, Iris, Encouragement","Increases Creative & Artistic Expression",,,,1558,0,1.95000000e+01,1.90000000e+01,,,,,,,,
"Delawarr, Psychological Shock",,,"+",,1559,0,1.95000000e+01,2.00000000e+01,,,,,,,,
"Chemical, Petro, Carbonic Acid",,,,,1561,0,1.95000000e+01,2.40000000e+01,,,,,,,,
"Herb, Cohosh, Black","Benefits Are Similar To Estrogen, Relieves Vaginal Dryness, Mood Swings & Hot Flashes, May Protect Against DNA Damage Involved In The Development Of Cancer",,,,1562,0,1.95000000e+01,2.55000000e+01,,,,,,,,
"Hormone, Desoxycorticosterone, Adrenal Cortex, Steroid Hormone","Important in water & salt metabolism, Used by Veterinarys",,,,1564,0,1.95000000e+01,2.78999996e+01,,,1.00000000e+01,,,,,
"Nutrient, Vitamin K 1, Menadione, Fat Soluble","Yogurt, alfalfa, egg yolk, safflower, soybean, fish liver oils, kelp, leafy green vegetables",,"+",,1565,0,1.95000000e+01,3.00000000e+01,,,,,,,,
"Dermatologic Disorders, Skin, Acne, Inflammatory Disease of Sebaceous Glands","& hair follicles of the Skin, scarring common, Check Staph & Strep On Skin, Poisons & Metals, Balance Endocrine System, Balance Left Lobe Of Liver & Spleen",,"-",,1566,0,1.95000000e+01,3.15000000e+01,,,,,,,,
"Herb, Corn Silk, Zea Mays","Anti-inflammatory, Immunomodulating, Demulcent, Diuretic",,,,1568,0,1.95000000e+01,6.25000000e+01,,,,,,,,
"Delawarr, Male Genital System, Prostate Gland, Nerves",,,"+",,1569,0,1.95000000e+01,9.50000000e+01,,,2.00000000e+01,2.00000000e+03,,,,
"Soil, Pounds Per Acre Foiler Application","Use With Element Available In Soil",,,,1570,0,1.96000004e+01,7.00000000e+00,,,,,,,,
"Delawarr, Psychological Shock, Mental Oppression",,,"+",,1571,0,1.97500000e+01,1.87500000e+01,,,,,,,,
"Delawarr, Breast, Mammary Glands, Arteries, From Internal Mammary Artery",,,"+",,1573,0,1.97500000e+01,2.20000000e+01,,,,,,,,
"Animal, Chickens, Humerus",,,,,1574,0,1.97500000e+01,2.67500000e+01,,,,,,,,
"Bacteria, Staphylococcus, Gram-Positive","Check Respiratory System",,,,1576,0,1.97500000e+01,3.25000000e+01,,,7.27000000e+02,4.32000008e+01,,,,
"Nutrient, Phytochemical, Quercitin, Bioflavonoid","White Skin & Segment Part Of Citrus Fruit (Lemon, Oranges, Grapefruit), Apricots, Buckwheat, Blackberries, Cherries, Rose Hips, Helps Enhance Absorption Of Vitamin C",,,,1577,0,1.97500000e+01,3.27500000e+01,,,,,,,,
